NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
40203,FOREST HILLS,m-Tolualdehyde,1998-06-16T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-06-22T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-06-28T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-07-04T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-07-10T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-07-16T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-09-20T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-09-26T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-10-02T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-10-08T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-10-14T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-10-20T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-11-01T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-11-07T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-11-13T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-11-19T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-11-25T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-12-01T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-12-07T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-12-13T00:00,0.025,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1998-12-31T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-01-06T00:00,0.058,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-01-12T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-01-18T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-01-24T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-01-30T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-02-05T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-02-11T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-02-17T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-02-23T00:00,0.101,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-03-01T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-03-07T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-03-13T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-03-19T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-03-25T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-03-31T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-04-06T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-04-12T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-04-18T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-04-24T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-05-06T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-05-12T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-05-18T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-05-24T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-05-30T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-06-05T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-06-11T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-06-23T00:00,0.095,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-06-29T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-08-16T00:00,0.145,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-08-22T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-08-28T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-09-03T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-09-15T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-09-21T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-09-27T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,1999-10-03T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-03-31T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-04-06T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-04-12T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-04-24T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-04-30T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-05-12T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-05-18T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-05-24T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-05-30T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-06-11T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-06-17T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-06-23T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-06-29T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-07-05T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-07-11T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-07-17T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-08-04T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-08-16T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-08-22T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,m-Tolualdehyde,2000-09-15T00:00,0.000,ug/m³,VOC,
