NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",1999-08-10T00:00,0.005,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",1999-08-22T00:00,0.003,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",1999-09-03T00:00,0.008,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",1999-10-09T00:00,0.037,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",1999-10-15T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",1999-10-21T00:00,0.020,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",1999-11-08T00:00,0.175,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",1999-11-20T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",1999-12-02T00:00,0.039,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",1999-12-14T00:00,0.029,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",1999-12-26T00:00,0.026,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-01-07T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-01-19T00:00,0.047,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-01-31T00:00,0.020,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-02-24T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-03-07T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-03-31T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-04-12T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-04-24T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-05-18T00:00,0.012,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-05-30T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-06-11T00:00,0.039,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-06-23T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-07-05T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-07-29T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-08-10T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-08-22T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-09-03T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-09-15T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-09-27T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-11-14T00:00,0.063,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-11-26T00:00,0.083,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-12-08T00:00,0.038,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2000-12-20T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-01-13T00:00,0.133,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-02-06T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-03-02T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-03-14T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-03-26T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-04-07T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-04-19T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-05-01T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-05-13T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-06-06T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-06-30T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-08-05T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,"Indeno(1,2,3-cd)Pyrene",2001-08-17T00:00,0.000,ng/m³,PAH,
